"Niveau 1
(Formulaire)";"Niveau 2
(Groupe)";"Niveau 3
(sous-groupe)";"Niveau 4
(sous-sous-groupe)";Nouveau Code;Ancien Code;Code Donnée Indicateurs Européens (DXX);Libellé de la donnée (FR);Libellé de la donnée (EN);Texte explicatif de la donnée (FR);Texte explicatif de la donnée (EN);Consigne de saisie MESRI existante;Donnée de l'année N-1 proposée par défaut O/N;Donnée à saisir ou calculée;Formule de calcul;Type de saisie;report N >> N+1;Variable 2013;Variable 2014;Variable 2015;Variable 2016;Variable 2017;Variable 2018;Variable 2019;Format de la donnée (texte, nombre, monétaire €, binaire);Unité de mesure de la donnée si format nombre ;Période ou date de la mesure (année civile, au 31/12);Valeur Min;Valeur Max => ;Alerte BL/NBL sur valeur max;Texte de l'alerte;Evolution Min (alerte NBL);Evolution Max (alerte NBL);Granularité;Remarque
Etablissement - Informations générales;;;;;;;;;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;
;;;;EtabNomOffi;nouveau;;Nom Etab officiel;;Nom officiel de l'établissement;Official name of the institution;Non;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG1 selon les cas
;;;;EtabNomUsage;nouveau;;Nom Etab Usage;;Nom d'usage de l'établissement;Common name of the institution;Non;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;
;;;;EtabSigle;nouveau;;Sigle établissement;;Sigle de l'établissement;Acronym;Non;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;
;;;;EtabMarque;nouveau;;Marque établissement;;Marque de l'établissement;Brand / Label ?;Non;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;
;;;;EtabAdresse;nouveau;;Adresse Etab;;Adresse de l'établissement;Institutional adress;Non;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG2 selon les cas
;;;;EtabCP;nouveau;;Code postal Etab;;Code postal de l'établissement;Postcode;Non;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG3 selon les cas
;;;;EtabVille;nouveau;;Ville Etab;;Ville de l'établissement;City;Non;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG4 selon les cas
;;;;EtabGPS;nouveau;;Coord GPS Etab;;Coordonnées GPS de l'établissement;GPS coordinates;Non;O;Saisie;;Libre;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;
;;;;EtabSiteWeb;nouveau;;Site Web Etab;;Site Web de l'établissement;Website;Non;O;Saisie;;Libre;O;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;reprise d'historique IG5 selon les cas
;;;;EtabType;nouveau;;Type Etab;;Type d'établissement;type of facility/type of institution ?;Non;O;Saisie;;Liste non modifiable  choix unique;;SO;SO;SO;SO;SO;SO;SO;Texte;;;;;;;;;ETAB;liste : 
Etablissement - Données annuelles (extérieures à l'enquête);;;;;;;;;;;;;Titre N1;;;;;;;;;;;Intitulé;;;;;;;;;ETAB;
;;;;EtabUAI;nouveau;;Code UAI Etab;;Code UAI de l'établissement;UAI code of the institution;Non;O;Saisie;;Libre;;;;;;;;;Texte;;;;;;;;;ETAB;
;;;;EtabSiseL;nouveau;;Etudiants L N-1/N;;Nombre d'étudiants inscrits en niveau licence dans l'établissement pour l'année universitaire N-1/N;Number of undergraduate students enrolled in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données SISE à intégrer par administrateur
;;;;EtabSiseM;nouveau;;Etudiants M N-1/N;;Nombre d'étudiants inscrits en niveau master dans l'établissement pour l'année universitaire N-1/N;Number of students enrolled at master's level in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données SISE à intégrer par administrateur
;;;;EtabSiseD;nouveau;;Etudiants D N-1/N;;Nombre d'étudiants inscrits en niveau doctorat dans l'établissement pour l'année universitaire N-1/N;Number of doctoral students enrolled in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données SISE à intégrer par administrateur
;;;;EtabSiseTot;nouveau;;Total Etudiants;;Nombre total d'étudiants inscrits dans l'établissement pour l'année universitaire N-1/N;Total number of students enrolled in the institution for the academic year N-1/N;SO;N;Calculée;EtabSiseL + EtabSiseM + EtabSiseD;Non;;;;;;;;;entier;inscriptions principales;année universitaire N-1/N;;;;;;;ETAB;
;;;;EtabECTit;nouveau;;EC Etab titulaires N-1/N;;Nombre d'enseignants chercheurs titulaires de l'établissement pour l'année N-1/N;Number of permanent teachers with tenure ??? in the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données DGRH à intégrer par administrateur
;;;;EtabECNTit;nouveau;;EC Etab non-titulaires N-1/N;;Nombre d'enseignants chercheurs non-titulaires de l'établissement pour l'année N-1/N;Number of permanent teachers without tenure ? In the institution for the academic year N-1/N;Non;N;Saisie;;Libre;;;;;;;;;entier;;année universitaire N-1/N;;;;;-10%;10%;ETAB;Données DGRH à intégrer par administrateur
